"Deine Klassenstufe/Lehrer","In welche Shops/Läden würdest du vorzugsweise gehen? ","Was würdest du in einem Fast Food-Restaurant bestellen","Was würdest du beim Bäcker bestellen?","Was würdest du im Kasino vorzugsweise spielen?","Was würdest du dir in einem Fanartikel-Shop kaufen?","Was würdest du dir in einem Sportladen kaufen?","Was ist deine Lieblingsfarbe?","Was würdest du eher in einem Webshop herunterladen?","Timestamp","Zuletzt aktualisiert","Erstellt von","Aktualisiert von","Entwurf","IP-Adresse","ID","Schlüssel"
"5-6","Fast Food-Restaurant, Bäcker, Kasino, Fanartikel-Shop, Sportladen, Supermarkt, Webshop","Currywurst","Schokocroissant","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 09:04:20","2019-05-10 09:04:20","","","0","","962","kr1qa"
"5-6","Bäcker, Supermarkt, Webshop","Dinokeule (Chicken Nuggets)","Schokocroissant","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 09:04:34","2019-05-10 09:04:34","","","0","","963","jyxhd"
"5-6","Sportladen","Veganer Salat","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 09:04:54","2019-05-10 09:04:54","","","0","","964","ytrhx"
"5-6","Sportladen","Veganer Salat","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 09:05:14","2019-05-10 09:05:14","","","0","","965","fii1n"
"5-6","Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Violett","MP3 (Einen Song)","2019-05-10 09:03:42","2019-05-10 09:03:42","","","0","","958","n6xyp"
"5-6","Sportladen","Dinokeule (Chicken Nuggets)","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 09:03:24","2019-05-10 09:03:24","","","0","","957","c0quo"
"5-6","Sportladen","Pommes","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 09:02:06","2019-05-10 09:02:06","","","0","","956","qryf7"
"5-6","Supermarkt","Pommes","Franzbrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 09:02:05","2019-05-10 09:02:05","","","0","","955","lq9dl"
"5-6","Fanartikel-Shop","Burger","Schokocroissant","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 09:01:59","2019-05-10 09:01:59","","","0","","954","nsqyd"
"5-6","Sportladen","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Grün","PNG (Ein Bild)","2019-05-10 09:01:50","2019-05-10 09:01:50","","","0","","953","zbbqt"
"5-6","Sportladen","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 09:01:25","2019-05-10 09:01:25","","","0","","952","d1hlh"
"5-6","Sportladen","Burger","Franzbrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 09:01:22","2019-05-10 09:01:22","","","0","","951","vc3wh"
"5-6","Sportladen","Veganer Salat","Franzbrötchen","Heißer Draht in Dino-Form","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 09:00:42","2019-05-10 09:00:42","","","0","","950","xth7o"
"5-6","Sportladen","Pommes","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 09:00:41","2019-05-10 09:00:41","","","0","","949","1fxau"
"5-6","Supermarkt","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Violett","MP3 (Einen Song)","2019-05-10 09:00:33","2019-05-10 09:00:33","","","0","","948","ab0th"
"5-6","Sportladen","Pommes","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","PNG (Ein Bild)","2019-05-10 08:59:59","2019-05-10 08:59:59","","","0","","947","kdjgg"
"11","Fast Food-Restaurant, Bäcker, Sportladen, Supermarkt","Burger","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Taucher-Set","Schwarz","MP3 (Einen Song)","2019-05-10 08:48:55","2019-05-10 08:48:55","","","0","","946","tlpcy"
"9-10","Fast Food-Restaurant, Bäcker, Fanartikel-Shop","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 07:53:22","2019-05-10 07:53:22","","","0","","924","w2tx9"
"9-10","Fast Food-Restaurant, Bäcker, Fanartikel-Shop, Sportladen, Supermarkt, Webshop","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:53:34","2019-05-10 07:53:34","","","0","","925","p82ir"
"9-10","Webshop","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:54:00","2019-05-10 07:54:00","","","0","","926","eecxq"
"9-10","Kasino","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:54:13","2019-05-10 07:54:13","","","0","","927","anigj"
"9-10","Fanartikel-Shop, Sportladen, Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:54:21","2019-05-10 07:54:21","","","0","","928","tnt8h"
"9-10","Fast Food-Restaurant","Pommes","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:54:22","2019-05-10 07:54:22","","","0","","929","ki66m"
"9-10","Supermarkt","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:54:36","2019-05-10 07:54:36","","","0","","930","tpnp7"
"9-10","Kasino","Currywurst","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:54:54","2019-05-10 07:54:54","","","0","","931","leo1o"
"9-10","Sportladen","Pommes","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:55:16","2019-05-10 07:55:16","","","0","","932","l47nh"
"9-10","Sportladen","Dinokeule (Chicken Nuggets)","Schokocroissant","Hau-den-Dino","Pfeife","Taucher-Set","Rot","MP3 (Einen Song)","2019-05-10 07:55:33","2019-05-10 07:55:33","","","0","","933","tsnam"
"9-10","Webshop","Currywurst","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:55:42","2019-05-10 07:55:42","","","0","","934","wezji"
"9-10","Fast Food-Restaurant","Burger","Schokocroissant","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:56:03","2019-05-10 07:56:03","","","0","","935","pdi6o"
"9-10","Webshop","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:56:34","2019-05-10 07:56:34","","","0","","936","c28tv"
"9-10","Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:56:40","2019-05-10 07:56:40","","","0","","937","tjmwr"
"9-10","Fast Food-Restaurant, Sportladen","Burger","Käsebrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:56:44","2019-05-10 07:56:44","","","0","","938","qahh4"
"9-10","Webshop","Currywurst","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:57:34","2019-05-10 07:57:34","","","0","","939","69av4"
"9-10","Fanartikel-Shop","Dinokeule (Chicken Nuggets)","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:57:37","2019-05-10 07:57:37","","","0","","940","keq47"
"9-10","Bäcker, Supermarkt","Pommes","Schokocroissant","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Gelb","MP3 (Einen Song)","2019-05-10 07:57:49","2019-05-10 07:57:49","","","0","","941","lwmaa"
"9-10","Fast Food-Restaurant, Supermarkt, Webshop","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 07:57:53","2019-05-10 07:57:53","","","0","","942","gn13k"
"9-10","Fast Food-Restaurant","Pommes","Käsebrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 07:58:33","2019-05-10 07:58:33","","","0","","943","jm494"
"9-10","Fanartikel-Shop, Supermarkt, Webshop","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:58:59","2019-05-10 07:58:59","","","0","","944","xxa82"
"9-10","Sportladen","Currywurst","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:59:24","2019-05-10 07:59:24","","","0","","945","gl4wj"
"5-6","Fast Food-Restaurant","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:49:09","2019-05-10 07:49:09","","","0","","923","uwjot"
"5-6","Fast Food-Restaurant, Bäcker, Kasino, Sportladen, Supermarkt","Burger","Franzbrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:47:38","2019-05-10 07:47:38","","","0","","922","6jdqq"
"5-6","Fast Food-Restaurant, Bäcker, Supermarkt","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Rot","MP3 (Einen Song)","2019-05-10 07:47:34","2019-05-10 07:47:34","","","0","","921","rjjwr"
"5-6","Sportladen","Pommes","Franzbrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:45:35","2019-05-10 07:45:35","","","0","","920","hmbq7"
"5-6","Bäcker, Sportladen, Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:45:34","2019-05-10 07:45:34","","","0","","919","ols8w"
"5-6","Supermarkt","Veganer Salat","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","PNG (Ein Bild)","2019-05-10 07:45:33","2019-05-10 07:45:33","","","0","","918","jbodq"
"5-6","Webshop","Pommes","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","PNG (Ein Bild)","2019-05-10 07:45:32","2019-05-10 07:45:32","","","0","","917","7kpzw"
"5-6","Supermarkt","Burger","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:45:29","2019-05-10 07:45:29","","","0","","916","74689a"
"5-6","Supermarkt","Burger","Franzbrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 07:45:25","2019-05-10 07:45:25","","","0","","915","ht9q"
"5-6","Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 07:45:20","2019-05-10 07:45:20","","","0","","914","k9v6h"
"5-6","Webshop","Burger","Schokocroissant","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","PNG (Ein Bild)","2019-05-10 07:43:49","2019-05-10 07:43:49","","","0","","913","6rw45"
"5-6","Bäcker","Veganer Salat","Käsebrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 07:43:45","2019-05-10 07:43:45","","","0","","912","amv2w"
"5-6","Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:43:39","2019-05-10 07:43:39","","","0","","911","orpbr"
"5-6","Fast Food-Restaurant","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:43:07","2019-05-10 07:43:07","","","0","","910","8chbd"
"5-6","Sportladen, Supermarkt","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:43:05","2019-05-10 07:43:05","","","0","","909","jpbqw"
"5-6","Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:42:58","2019-05-10 07:42:58","","","0","","908","5v9a2"
"5-6","Bäcker","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Schwarz","MP3 (Einen Song)","2019-05-10 07:41:48","2019-05-10 07:41:48","","","0","","907","wflmh"
"5-6","Sportladen","Veganer Salat","Käsebrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 07:41:45","2019-05-10 07:41:45","","","0","","906","s1kr2"
"5-6","Fast Food-Restaurant, Sportladen","Burger","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:41:21","2019-05-10 07:41:21","","","0","","905","cs5kt"
"5-6","Webshop","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 07:41:11","2019-05-10 07:41:11","","","0","","904","qcjmh"
"5-6","Fast Food-Restaurant, Bäcker","Burger","Schokocroissant","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 07:41:09","2019-05-10 07:41:09","","","0","","903","4ketd"
"5-6","Supermarkt","Pommes","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:40:33","2019-05-10 07:40:33","","","0","","902","8cm52"
"5-6","Fast Food-Restaurant, Sportladen","Burger","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:40:29","2019-05-10 07:40:29","","","0","","901","cqe0k"
"5-6","Fast Food-Restaurant, Bäcker, Supermarkt, Webshop","Burger","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:40:28","2019-05-10 07:40:28","","","0","","900","5ma1m"
"5-6","Fast Food-Restaurant, Bäcker","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","PNG (Ein Bild)","2019-05-10 07:35:03","2019-05-10 07:35:03","","","0","","899","admxj"
"5-6","Fast Food-Restaurant, Kasino, Sportladen, Webshop","Burger","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 07:34:59","2019-05-10 07:34:59","","","0","","898","fbvps"
"5-6","Fast Food-Restaurant, Sportladen","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:34:54","2019-05-10 07:34:54","","","0","","897","9ah50"
"5-6","Supermarkt","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:34:05","2019-05-10 07:34:05","","","0","","896","rnin7"
"5-6","Sportladen, Supermarkt","Veganer Salat","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:33:48","2019-05-10 07:33:48","","","0","","895","ntb3f"
"7-8","Bäcker, Kasino","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","PNG (Ein Bild)","2019-05-10 07:33:39","2019-05-10 07:33:39","","","0","","894","nh42c"
"5-6","Fast Food-Restaurant, Sportladen","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:29:00","2019-05-10 07:29:00","","","0","","878","k4xz2"
"5-6","Bäcker, Fanartikel-Shop, Sportladen","Pommes","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Gelb","MP3 (Einen Song)","2019-05-10 07:29:00","2019-05-10 07:29:00","","","0","","879","iduec"
"5-6","Fast Food-Restaurant, Sportladen","Burger","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:29:52","2019-05-10 07:29:52","","","0","","880","n8kop"
"5-6","Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:30:10","2019-05-10 07:30:10","","","0","","881","ih86t"
"5-6","Webshop","Pommes","Schokocroissant","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Violett","MP3 (Einen Song)","2019-05-10 07:30:10","2019-05-10 07:30:10","","","0","","882","oi6qg"
"5-6","Fast Food-Restaurant, Bäcker, Sportladen, Supermarkt, Webshop","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:30:17","2019-05-10 07:30:17","","","0","","883","1q9qw"
"5-6","Sportladen","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Gelb","MP3 (Einen Song)","2019-05-10 07:30:29","2019-05-10 07:30:29","","","0","","884","rdtnd"
"5-6","Sportladen","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:31:09","2019-05-10 07:31:09","","","0","","885","fl31c"
"5-6","Fast Food-Restaurant","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:31:34","2019-05-10 07:31:34","","","0","","886","48nj4"
"5-6","Fast Food-Restaurant","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:31:40","2019-05-10 07:31:40","","","0","","887","qcbwy"
"5-6","Sportladen","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:31:45","2019-05-10 07:31:45","","","0","","888","6lp8b"
"5-6","Bäcker, Fanartikel-Shop","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:32:00","2019-05-10 07:32:00","","","0","","889","hi9tc"
"5-6","Sportladen","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:32:04","2019-05-10 07:32:04","","","0","","890","sqci7"
"5-6","Fast Food-Restaurant, Bäcker, Supermarkt, Webshop","Burger","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Gelb","MP3 (Einen Song)","2019-05-10 07:32:09","2019-05-10 07:32:09","","","0","","891","sd5ii"
"5-6","Sportladen","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:33:15","2019-05-10 07:33:15","","","0","","892","ct505"
"5-6","Bäcker, Sportladen","Dinokeule (Chicken Nuggets)","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 07:33:20","2019-05-10 07:33:20","","","0","","893","bo95o"
"5-6","Sportladen","Burger","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 07:28:40","2019-05-10 07:28:40","","","0","","875","ffa7v"
"5-6","Fast Food-Restaurant","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:28:48","2019-05-10 07:28:48","","","0","","876","y0y8y"
"5-6","Supermarkt","Pommes","Schokocroissant","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 07:28:58","2019-05-10 07:28:58","","","0","","877","yfzpn"
"5-6","Fast Food-Restaurant","Burger","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:28:24","2019-05-10 07:28:24","","","0","","874","mngbt"
"5-6","Supermarkt","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 07:25:05","2019-05-10 07:25:05","","","0","","873","i6jwd"
"5-6","Bäcker, Fanartikel-Shop","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 07:25:04","2019-05-10 07:25:04","","","0","","872","c92j9"
"5-6","Supermarkt","Burger","Franzbrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","PNG (Ein Bild)","2019-05-10 07:24:57","2019-05-10 07:24:57","","","0","","871","se7u1"
"5-6","Fast Food-Restaurant","Pommes","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 07:24:04","2019-05-10 07:24:04","","","0","","870","72g8h"
"5-6","Supermarkt","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 07:24:01","2019-05-10 07:24:01","","","0","","869","4l6ma"
"5-6","Fanartikel-Shop, Sportladen","Burger","Franzbrötchen","Heißer Draht in Dino-Form","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 07:23:21","2019-05-10 07:23:21","","","0","","868","sfhfw"
